"Product Name",Handle,"Old Product ID"
"1 Month Sentinel Cellular Subscription",1-month-sentinel-cellular-subscription,275
"1 Month Sentinel Premium Ethernet Subscription",1-month-sentinel-premium-ethernet-subscription,281
"1 Month Sentinel Pro Cellular Subscription",1-month-sentinel-pro-cellular-subscription,293
"1 Month Sentinel Pro Premium Ethernet Subscription",1-month-sentinel-pro-premium-ethernet-subscription,287
"1 Month Sentry Cellular Subscription",1-month-sentry-cellular-subscription,299
"1 Month Stratus EMS Premium Ethernet Subscription",1-month-stratus-ems-premium-ethernet-subscription,269
"1 Year Sentinel Cellular Subscription",1-year-sentinel-cellular-subscription,276
"1 Year Sentinel Premium Ethernet Subscription",1-year-sentinel-premium-ethernet-subscription,282
"1 Year Sentinel Pro Cellular Subscription",1-year-sentinel-pro-cellular-subscription,294
"1 Year Sentinel Pro Premium Ethernet Subscription",1-year-sentinel-pro-premium-ethernet-subscription,288
"1 Year Sentry Cellular Subscription",1-year-sentry-cellular-subscription,300
"1 Year Stratus EMS Premium Ethernet Subscription",1-year-stratus-ems-premium-ethernet-subscription,270
"10K Type Immersion Temperature Sensor",10k-type-immersion-temperature-sensor,166
"10K Type Indoor Decorator Zone Temperature Sensor",10k-type-indoor-decorator-zone-temperature-sensor,164
"10K Type Outdoor Air Temperature Sensor",10k-type-outdoor-air-temperature-sensor,165
"10K Type Weatherproof Temperature Sensor",10k-type-weatherproof-temperature-sensor,162
"2 Year Sentinel Cellular Subscription",2-year-sentinel-cellular-subscription,277
"2 Year Sentinel Premium Ethernet Subscription",2-year-sentinel-premium-ethernet-subscription,283
"2 Year Sentinel Pro Cellular Subscription",2-year-sentinel-pro-cellular-subscription,295
"2 Year Sentinel Pro Premium Ethernet Subscription",2-year-sentinel-pro-premium-ethernet-subscription,289
"2 Year Sentry Cellular Subscription",2-year-sentry-cellular-subscription,301
"2 Year Stratus EMS Premium Ethernet Subscription",2-year-stratus-ems-premium-ethernet-subscription,271
"2.8k Type Room Temperature Sensor",28k-type-room-temperature-sensor,115
"2.8K Type Temperature Sensor Display",28k-type-temperature-sensor-display,174
"2.8K Type Temperature Sensor in Glass Bead Vial",28k-type-temperature-sensor-in-glass-bead-vial,167
"2.8k Type Temperature Sensor in Glycol Vial",28k-type-temperature-sensor-in-glycol-vial,175
"2.8K Type Ultra Low Temperature Sensor",28k-type-ultra-low-temperature-sensor,160
"2.8K Type Ultra Low Temperature Sensor in Glass Bead Vial",28k-type-ultra-low-temperature-sensor-in-glass-bead-vial,169
"2.8K Type Ultra Low Temperature Sensor in Glycol Bottle",28k-type-ultra-low-temperature-sensor-in-glycol-bottle,177
"2.8K Type Weatherproof Temperature Sensor",28k-type-weatherproof-temperature-sensor,117
"24VDC Power Supply Accessory for 4-20mA Sensors",24vdc-power-supply-accessory-for-4-20ma-sensors,140
"24VDC Power Supply Accessory for 4-20mA Sensors w/ Battery Backup",24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup,154
"3 Year Sentinel Cellular Subscription",3-year-sentinel-cellular-subscription,278
"3 Year Sentinel Premium Ethernet Subscription",3-year-sentinel-premium-ethernet-subscription,284
"3 Year Sentinel Pro Cellular Subscription",3-year-sentinel-pro-cellular-subscription,296
"3 Year Sentinel Pro Premium Ethernet Subscription",3-year-sentinel-pro-premium-ethernet-subscription,290
"3 Year Sentry Cellular Subscription",3-year-sentry-cellular-subscription,302
"3 Year Stratus EMS Premium Ethernet Subscription",3-year-stratus-ems-premium-ethernet-subscription,272
"3G/4G/LTE External Antenna",3g-4g-lte-external-antenna,189
"4 Year Sentinel Cellular Subscription",4-year-sentinel-cellular-subscription,279
"4 Year Sentinel Premium Ethernet Subscription",4-year-sentinel-premium-ethernet-subscription,285
"4 Year Sentinel Pro Cellular Subscription",4-year-sentinel-pro-cellular-subscription,297
"4 Year Sentinel Pro Premium Ethernet Subscription",4-year-sentinel-pro-premium-ethernet-subscription,291
"4 Year Sentry Cellular Subscription",4-year-sentry-cellular-subscription,303
"4 Year Stratus EMS Premium Ethernet Subscription",4-year-stratus-ems-premium-ethernet-subscription,273
"4-20mA 0-20k Carbon Dioxide (CO2) Transmitter",4-20ma-0-20k-carbon-dioxide-co2-transmitter,152
"4-20mA Duct Mount Carbon Dioxide (CO2) Transmitter",4-20ma-duct-mount-carbon-dioxide-co2-transmitter,150
"4-20mA Outdoor Carbon Dioxide (CO2) Transmitter",4-20ma-outdoor-carbon-dioxide-co2-transmitter,151
"4-20mA Type Carbon Dioxide (CO2) Sensor",4-20ma-type-carbon-dioxide-co2-sensor,149
"4-20mA Type Carbon Monoxide Sensor",4-20ma-type-carbon-monoxide-sensor,147
"4-20mA Type Dew Point Sensor",4-20ma-type-dew-point-sensor,145
"4-20mA Type Differential Pressure Sensor",4-20ma-type-differential-pressure-sensor,191
"4-20mA Type Dual Flow & Temperature Sensor",4-20ma-type-dual-flow-and-temperature-sensor,182
"4-20mA Type Duct Mount Air Flow Transmitter",4-20ma-type-duct-mount-air-flow-transmitter,153
"4-20mA Type Duct Mount Humidity Sensor",4-20ma-type-duct-mount-humidity-sensor,139
"4-20mA Type Humidity Sensor",4-20ma-type-humidity-sensor,137
"4-20mA Type Outdoor Humidity Sensor",4-20ma-type-outdoor-humidity-transmitter,138
"4-20mA Type Pressure Sensor",4-20ma-type-pressure-sensor,190
"4-20mA Type Soil Moisture Sensor",4-20ma-type-soil-moisture-sensor,159
"4-20mA Type Split Core Current Sensor",4-20ma-type-split-core-current-sensor,158
"4-20mA Type Vibration Sensor",4-20ma-type-vibration-sensor,193
"4G/LTE Cell Modem for Sensaphone Cloud Devices",4g-lte-cell-modem-for-sensaphone-cloud-devices,265
"4G/LTE High Gain Omni Directional Antenna",4g-lte-high-gain-omni-directional-antenna,188
"5 Year Sentinel Cellular Subscription",5-year-sentinel-cellular-subscription,280
"5 Year Sentinel Premium Ethernet Subscription",5-year-sentinel-premium-ethernet-subscription,286
"5 Year Sentinel Pro Cellular Subscription",5-year-sentinel-pro-cellular-subscription,298
"5 Year Sentinel Pro Premium Ethernet Subscription",5-year-sentinel-pro-premium-ethernet-subscription,292
"5 Year Sentry Cellular Subscription",5-year-sentry-cellular-subscription,304
"5 Year Stratus EMS Premium Ethernet Subscription",5-year-stratus-ems-premium-ethernet-subscription,274
"Accessory Wire",accessory-wire,131
"Contact Type Float Level Switch",contact-type-float-level-switch,181
"Contact Type Humidistat Humidity Switch",contact-type-humidistat-humidity-switch,135
"Contact Type Infrared Motion Detection Sensor",contact-type-infrared-motion-detection-sensor,130
"Contact Type Magnetic Reed Door and Window Switch",contact-type-magnetic-reed-door-and-window-switch,116
"Contact Type PowerOut Alert Power Failure Switch",contact-type-powerout-alert-power-failure-switch,141
"Contact Type Smoke Detector Sensor",contact-type-smoke-detector-sensor,136
"Contact Type Spot Water Detection Sensor",contact-type-spot-water-detection-sensor,133
"Contact Type Temp Alert Temperature Switch",contact-type-temp-alert-temperature-switch,134
"Contact Type Zone Water Detection Sensor",contact-type-zone-water-detection-sensor,143
"Din Rail Mount 24V Power Supply",din-rail-mount-24v-power-supply-accessory,156
"Dissolved Oxygen Transducer",dissolved-oxygen-transducer,200
"Ethernet-to-WiFi Adapter Accessory",ethernet-to-wifi-adapter-accessory,118
"External Microphone Attachment",external-microphone-attachment,144
"IMS CAT5 Patch Cable",ims-cat5-patch-cable,231
"IMS RJ45 Cable Couplers (F/F)",ims-rj45-cable-couplers-f-f,234
"IMS Solution 4-20mA Interface",ims-solution-4-20ma-interface,254
"IMS Solution Air Flow Sensor",ims-solution-air-flow-sensor,258
"IMS Solution Dry Contact Interface",ims-solution-dry-contact-interface,253
"IMS Solution External Power Failure Sensor",ims-solution-external-power-failure-sensor,252
"IMS Solution Indoor Temperature Sensors",ims-solution-indoor-temperature-sensors,237
"IMS Solution Infrared Motion Detection Sensor",ims-solution-infrared-motion-detection-sensor,256
"IMS Solution Magnetic Reed Door and Window Switch",ims-solution-magnetic-reed-door-and-window-switch,255
"IMS Solution Mini Temperature Sensor",ims-solution-mini-temperature-sensor,241
"IMS Solution Room Humidity Sensor",ims-solution-room-humidity-sensor,248
"IMS Solution Smoke Detection Sensor",ims-solution-smoke-detection-sensor,257
"IMS Solution Temperature Sensor w/ External Probe",ims-solution-temperature-sensor-w-external-probe,247
"IMS Solution Ultra Low Temperature Sensor",ims-solution-ultra-low-temperature-sensor,243
"IMS Solution Zone Water Detection Sensor",ims-solution-zone-water-detection-sensor,250
"IMS-4000 DB9 Null Modem Cable",ims-4000-db9-null-modem-cable,236
"IMS-4000 Dual Relay Output Module",ims-4000-dual-relay-output-module,228
"IMS-4000 Enterprise Monitoring Node Expansion Unit",ims-4000-enterprise-monitoring-node-expansion-unit,226
"IMS-4000 Node w/ Dry Contact Inputs",ims-4000-node-w-dry-contact-inputs,229
"IMS-4000 Wall Mount Bracket",ims-4000-wall-mount-bracket,235
"Invoice Payment",invoice-payment,305
"J Type Thermocouple / 4-20mA Converter",j-type-thermocouple-4-20ma-converter,179
"Modbus Type Temperature and Humidity Combination Sensor",modbus-type-temperature-and-humidity-combination-sensor,171
"ORP Sensor 4-20mA Fixed",orp-sensor-4-20ma-fixed,196
"PH Sensor 4-20mA Fixed",ph-sensor-4-20ma-fixed,195
"Power Supply for WSG30 Wireless Sensor Gateway",power-supply-for-wsg30-wireless-sensor-gateway,224
"Power Supply for WSG30 Wireless Sensors",power-supply-for-wsg30-wireless-sensors,222
"Power Supply for WSG30 Wireless Sensors for 220VAC",power-supply-for-wsg30-wireless-sensors-for-220vac,225
"Power Supply for WSG30 Wireless Zone Water Sensor Only",power-supply-for-wsg30-wireless-zone-water-sensor-only,223
"Pro-rated Subscription Discount",subscription-registration-fee,306
"Quoted Shipping",quoted-shipping,307
"RTD Probe with 4-20mA Transmitter",rtd-probe-with-4-20ma-transmitter,184
"Sensaphone 1400 & 1800 Monitoring Systems",sensaphone-1400-1800-monitoring-systems,
"Sensaphone 1400 & 1800 Monitoring Systems",sensaphone-1400-and-1800-monitoring-systems,129
"Sensaphone 400 & 800 Monitoring Systems",sensaphone-400-and-800-monitoring-systems,121
"Sensaphone IMS-4000E Enterprise Monitoring Host",sensaphone-ims-4000e-enterprise-monitoring-host,124
"Sensaphone Sentinel Monitoring System",sensaphone-sentinel-monitoring-system,111
"Sensaphone Sentinel Monitoring System with Cellular Modem",sensaphone-sentinel-monitoring-system-with-cellular-modem,112
"Sensaphone Sentinel Pro Monitoring System",sensaphone-sentinel-pro-monitoring-system,113
"Sensaphone Sentinel Pro Monitoring System with Cellular Modem",sensaphone-sentinel-pro-monitoring-system-with-cellular-modem,119
"Sensaphone Sentry Monitoring System",sensaphone-sentry-monitoring-system,
"Sensaphone Sentry Monitoring System",sensaphone-sentry-monitoring-system-1,267
"Sensaphone Sentry Monitoring System (Copy)",sensaphone-sentry-monitoring-system-copy,
"Sensaphone Sentry Monitoring System test",sensaphone-sentry-monitoring-system-test,
"Sensaphone Sentry Monitoring System test 2",sensaphone-sentry-monitoring-system-test-2,
"Sensaphone Sentry Monitoring System test 3",sensaphone-sentry-monitoring-system-test-3,
"Sensaphone Sentry Monitoring System test 4",sensaphone-sentry-monitoring-system-test-4,
"Sensaphone Sentry Monitoring System test 5",sensaphone-sentry-monitoring-system-test-5,
"Sensaphone Stratus EMS Monitoring System",sensaphone-stratus-ems-monitoring-system,120
"Sensaphone WEB600 Battery Backup",sensaphone-web600-battery-backup,268
"Sensaphone WEB600 Monitoring System",sensaphone-web600-monitoring-system,125
"Sensaphone WSG30 Monitoring System",sensaphone-wsg30-monitoring-system,126
"Sensaphone WSG30 Wireless Temperature Display",sensaphone-wsg30-wireless-temperature-display,266
"Surge Suppressor for Power & Phone",surge-suppressor-for-power-and-phone,148
"Telephone Adapter UK",telephone-adapter-uk,142
"Temperature, Humidity and CO2 Combination Sensor",temperature-humidity-and-co2-combination-sensor,172
"Toroidal Conductivity 1000MS",toroidal-conductivity-1000ms,199
"Toroidal Conductivity 100MS",toroidal-conductivity-100ms,198
"Toroidal Conductivity 10MS",toroidal-conductivity-10ms,197
"USB to RS-232 Serial Converter Accessory",usb-to-rs-232-serial-converter-accessory,180
"VFC Refrigerator Temperature Sensor with Display",vfc-refrigerator-temperature-sensor-with-display,201
"Water Rope Extension for Zone Water Detection Sensors",water-rope-extension-for-zone-water-detection-sensors,251
"Water Rope Extension for Zone Water Detectors",water-rope-extension-for-zone-water-detectors,146
"WSG Wireless 4-20mA Interface",wsg-wireless-4-20ma-interface,219
"WSG Wireless Dry Contact Interface",wsg-wireless-dry-contact-interface,217
"WSG Wireless Humidity Sensor",wsg-wireless-humidity-sensor,216
"WSG Wireless Power Failure Sensor",wsg-wireless-power-failure-sensor,218
"WSG Wireless Room Temperature Sensor",wsg-wireless-room-temperature-sensor,204
"WSG Wireless Sensor Enclosure Kit",wsg-wireless-sensor-enclosure-kit,203
"WSG Wireless Temperature Sensor in Buffered Bottle",wsg-wireless-temperature-sensor-in-buffered-bottle,209
"WSG Wireless Temperature Sensor w/ External Probe",wsg-wireless-temperature-sensor-w-external-probe,205
"WSG Wireless Temperature Sensor with RTD Probe",wsg-wireless-temperature-sensor-with-rtd-probe,213
"WSG Wireless Water Detection Sensors",wsg-wireless-water-detection-sensors,220
"[Sample] B2B Ninja Product",sample-b2b-ninja-product,128
