Handle,product.metafields.shopify--discovery--product_recommendation.related_products,Tt
10k-type-immersion-temperature-sensor,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;10k-type-weatherproof-temperature-sensor;10k-type-outdoor-air-temperature-sensor;modbus-type-temperature-and-humidity-combination-sensor;temperature-humidity-and-co2-combination-sensor;rtd-probe-with-4-20ma-transmitter,"10K Type Immersion Temperature Sensor"
10k-type-indoor-decorator-zone-temperature-sensor,28k-type-weatherproof-temperature-sensor;accessory-wire;contact-type-temp-alert-temperature-switch;28k-type-ultra-low-temperature-sensor;10k-type-weatherproof-temperature-sensor;10k-type-outdoor-air-temperature-sensor;10k-type-immersion-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display;28k-type-temperature-sensor-in-glycol-vial;28k-type-ultra-low-temperature-sensor-in-glycol-bottle;vfc-refrigerator-temperature-sensor-with-display,"10K Type Indoor Decorator Zone Temperature Sensor"
10k-type-outdoor-air-temperature-sensor,28k-type-room-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;10k-type-weatherproof-temperature-sensor;10k-type-immersion-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display;28k-type-temperature-sensor-in-glycol-vial;28k-type-ultra-low-temperature-sensor-in-glycol-bottle;vfc-refrigerator-temperature-sensor-with-display,"10K Type Outdoor Air Temperature Sensor"
10k-type-weatherproof-temperature-sensor,28k-type-room-temperature-sensor;28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;10k-type-outdoor-air-temperature-sensor;10k-type-immersion-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display,"10K Type Weatherproof Temperature Sensor"
28k-type-room-temperature-sensor,28k-type-weatherproof-temperature-sensor;accessory-wire;contact-type-temp-alert-temperature-switch;28k-type-ultra-low-temperature-sensor;10k-type-weatherproof-temperature-sensor;10k-type-indoor-decorator-zone-temperature-sensor;10k-type-outdoor-air-temperature-sensor;10k-type-immersion-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display,"2.8k Type Room Temperature Sensor"
28k-type-temperature-sensor-display,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-in-glycol-vial;28k-type-ultra-low-temperature-sensor-in-glycol-bottle;rtd-probe-with-4-20ma-transmitter;vfc-refrigerator-temperature-sensor-with-display,"2.8K Type Temperature Sensor Display"
28k-type-temperature-sensor-in-glass-bead-vial,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;28k-type-temperature-sensor-display;28k-type-temperature-sensor-in-glycol-vial;28k-type-ultra-low-temperature-sensor-in-glycol-bottle;vfc-refrigerator-temperature-sensor-with-display,"2.8K Type Temperature Sensor in Glass Bead Vial"
28k-type-temperature-sensor-in-glycol-vial,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display;28k-type-ultra-low-temperature-sensor-in-glycol-bottle;vfc-refrigerator-temperature-sensor-with-display,"2.8k Type Temperature Sensor in Glycol Vial"
28k-type-ultra-low-temperature-sensor,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display;28k-type-temperature-sensor-in-glycol-vial;vfc-refrigerator-temperature-sensor-with-display,"2.8K Type Ultra Low Temperature Sensor"
28k-type-ultra-low-temperature-sensor-in-glass-bead-vial,accessory-wire;28k-type-ultra-low-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display;28k-type-temperature-sensor-in-glycol-vial;28k-type-ultra-low-temperature-sensor-in-glycol-bottle;rtd-probe-with-4-20ma-transmitter;vfc-refrigerator-temperature-sensor-with-display,"2.8K Type Ultra Low Temperature Sensor in Glass Bead Vial"
28k-type-ultra-low-temperature-sensor-in-glycol-bottle,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;rtd-probe-with-4-20ma-transmitter;vfc-refrigerator-temperature-sensor-with-display,"2.8K Type Ultra Low Temperature Sensor in Glycol Bottle"
28k-type-weatherproof-temperature-sensor,accessory-wire;28k-type-ultra-low-temperature-sensor;10k-type-weatherproof-temperature-sensor;10k-type-outdoor-air-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display,"2.8K Type Weatherproof Temperature Sensor"
24vdc-power-supply-accessory-for-4-20ma-sensors,accessory-wire;4-20ma-type-humidity-sensor;4-20ma-type-outdoor-humidity-transmitter;4-20ma-type-duct-mount-humidity-sensor;4-20ma-type-dew-point-sensor;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory;4-20ma-type-split-core-current-sensor,"24VDC Power Supply Accessory for 4-20mA Sensors"
24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup,4-20ma-type-humidity-sensor;4-20ma-type-outdoor-humidity-transmitter;4-20ma-type-duct-mount-humidity-sensor;4-20ma-type-dew-point-sensor;modbus-type-temperature-and-humidity-combination-sensor;4-20ma-type-dual-flow-and-temperature-sensor;4-20ma-type-pressure-sensor;4-20ma-type-differential-pressure-sensor;4-20ma-type-vibration-sensor,"24VDC Power Supply Accessory for 4-20mA Sensors w/ Battery Backup"
4-20ma-duct-mount-carbon-dioxide-co2-transmitter,4-20ma-type-carbon-monoxide-sensor;4-20ma-type-carbon-dioxide-co2-sensor;4-20ma-type-duct-mount-air-flow-transmitter;temperature-humidity-and-co2-combination-sensor,"4-20mA Duct Mount Carbon Dioxide (CO2) Transmitter"
4-20ma-outdoor-carbon-dioxide-co2-transmitter,accessory-wire;4-20ma-type-carbon-dioxide-co2-sensor;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup,"4-20mA Outdoor Carbon Dioxide (CO2) Transmitter"
4-20ma-type-carbon-dioxide-co2-sensor,24vdc-power-supply-accessory-for-4-20ma-sensors;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory,"4-20mA Type Carbon Dioxide (CO2) Sensor"
4-20ma-type-carbon-monoxide-sensor,4-20ma-type-carbon-dioxide-co2-sensor;4-20ma-type-duct-mount-air-flow-transmitter;temperature-humidity-and-co2-combination-sensor;4-20ma-type-dual-flow-and-temperature-sensor;4-20ma-type-pressure-sensor;4-20ma-type-differential-pressure-sensor;4-20ma-type-vibration-sensor,"4-20mA Type Carbon Monoxide Sensor"
4-20ma-type-dew-point-sensor,contact-type-spot-water-detection-sensor;4-20ma-type-humidity-sensor;4-20ma-type-outdoor-humidity-transmitter;4-20ma-type-duct-mount-humidity-sensor;contact-type-zone-water-detection-sensor;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory;4-20ma-type-soil-moisture-sensor,"4-20mA Type Dew Point Sensor"
4-20ma-type-dual-flow-and-temperature-sensor,accessory-wire;24vdc-power-supply-accessory-for-4-20ma-sensors;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory,"4-20mA Type Dual Flow & Temperature Sensor"
4-20ma-type-duct-mount-air-flow-transmitter,accessory-wire;4-20ma-type-carbon-monoxide-sensor;4-20ma-type-carbon-dioxide-co2-sensor;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory;temperature-humidity-and-co2-combination-sensor,"4-20mA Type Duct Mount Air Flow Transmitter"
4-20ma-type-duct-mount-humidity-sensor,4-20ma-type-humidity-sensor;4-20ma-type-outdoor-humidity-transmitter;contact-type-zone-water-detection-sensor;4-20ma-type-dew-point-sensor;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;modbus-type-temperature-and-humidity-combination-sensor;temperature-humidity-and-co2-combination-sensor,"4-20mA Type Duct Mount Humidity Sensor"
4-20ma-type-humidity-sensor,28k-type-weatherproof-temperature-sensor;4-20ma-type-outdoor-humidity-transmitter;4-20ma-type-duct-mount-humidity-sensor;24vdc-power-supply-accessory-for-4-20ma-sensors;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;modbus-type-temperature-and-humidity-combination-sensor;temperature-humidity-and-co2-combination-sensor,"4-20mA Type Humidity Sensor"
4-20ma-type-outdoor-humidity-transmitter,contact-type-spot-water-detection-sensor;4-20ma-type-humidity-sensor;4-20ma-type-duct-mount-humidity-sensor;contact-type-zone-water-detection-sensor;4-20ma-type-dew-point-sensor;modbus-type-temperature-and-humidity-combination-sensor;temperature-humidity-and-co2-combination-sensor,"4-20mA Type Outdoor Humidity Sensor"
4-20ma-type-pressure-sensor,accessory-wire;24vdc-power-supply-accessory-for-4-20ma-sensors;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory;4-20ma-type-dual-flow-and-temperature-sensor;4-20ma-type-differential-pressure-sensor;4-20ma-type-vibration-sensor,"4-20mA Type Pressure Sensor"
4-20ma-type-soil-moisture-sensor,accessory-wire;24vdc-power-supply-accessory-for-4-20ma-sensors;surge-suppressor-for-power-and-phone;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory,"4-20mA Type Soil Moisture Sensor"
4-20ma-type-split-core-current-sensor,accessory-wire;24vdc-power-supply-accessory-for-4-20ma-sensors;surge-suppressor-for-power-and-phone;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory,"4-20mA Type Split Core Current Sensor"
4-20ma-type-vibration-sensor,accessory-wire;24vdc-power-supply-accessory-for-4-20ma-sensors;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory,"4-20mA Type Vibration Sensor"
4g-lte-cell-modem-for-sensaphone-cloud-devices,sensaphone-sentinel-monitoring-system;sensaphone-sentinel-pro-monitoring-system;sensaphone-stratus-ems-monitoring-system,"4G/LTE Cell Modem for Sensaphone Cloud Devices"
contact-type-float-level-switch,accessory-wire;contact-type-humidistat-humidity-switch;4-20ma-type-humidity-sensor;4-20ma-type-outdoor-humidity-transmitter;4-20ma-type-duct-mount-humidity-sensor;4-20ma-type-dew-point-sensor,"Contact Type Float Level Switch"
contact-type-humidistat-humidity-switch,28k-type-weatherproof-temperature-sensor;contact-type-spot-water-detection-sensor;contact-type-temp-alert-temperature-switch;4-20ma-type-humidity-sensor;contact-type-zone-water-detection-sensor;temperature-humidity-and-co2-combination-sensor,"Contact Type Humidistat Humidity Switch"
contact-type-infrared-motion-detection-sensor,28k-type-room-temperature-sensor;contact-type-magnetic-reed-door-and-window-switch;28k-type-weatherproof-temperature-sensor;contact-type-humidistat-humidity-switch;contact-type-smoke-detector-sensor;contact-type-zone-water-detection-sensor,"Contact Type Infrared Motion Detection Sensor"
contact-type-magnetic-reed-door-and-window-switch,28k-type-room-temperature-sensor;28k-type-weatherproof-temperature-sensor;contact-type-infrared-motion-detection-sensor;contact-type-smoke-detector-sensor,"Contact Type Magnetic Reed Door and Window Switch"
contact-type-powerout-alert-power-failure-switch,contact-type-magnetic-reed-door-and-window-switch;contact-type-infrared-motion-detection-sensor;contact-type-spot-water-detection-sensor;contact-type-humidistat-humidity-switch;contact-type-smoke-detector-sensor;4-20ma-type-humidity-sensor;contact-type-zone-water-detection-sensor;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup,"Contact Type PowerOut Alert Power Failure Switch"
contact-type-smoke-detector-sensor,contact-type-magnetic-reed-door-and-window-switch;contact-type-infrared-motion-detection-sensor;contact-type-spot-water-detection-sensor;contact-type-temp-alert-temperature-switch;contact-type-humidistat-humidity-switch;4-20ma-type-humidity-sensor;contact-type-zone-water-detection-sensor;28k-type-ultra-low-temperature-sensor,"Contact Type Smoke Detector Sensor"
contact-type-spot-water-detection-sensor,accessory-wire;contact-type-temp-alert-temperature-switch;contact-type-humidistat-humidity-switch;4-20ma-type-humidity-sensor;contact-type-zone-water-detection-sensor;water-rope-extension-for-zone-water-detectors;28k-type-ultra-low-temperature-sensor,"Contact Type Spot Water Detection Sensor"
contact-type-temp-alert-temperature-switch,28k-type-room-temperature-sensor;contact-type-magnetic-reed-door-and-window-switch;28k-type-weatherproof-temperature-sensor;contact-type-infrared-motion-detection-sensor;contact-type-humidistat-humidity-switch;contact-type-smoke-detector-sensor;4-20ma-type-humidity-sensor;28k-type-temperature-sensor-in-glass-bead-vial,"Contact Type Temp Alert Temperature Switch"
contact-type-zone-water-detection-sensor,contact-type-spot-water-detection-sensor;contact-type-humidistat-humidity-switch;4-20ma-type-humidity-sensor;4-20ma-type-outdoor-humidity-transmitter;4-20ma-type-duct-mount-humidity-sensor;4-20ma-type-dew-point-sensor;modbus-type-temperature-and-humidity-combination-sensor;temperature-humidity-and-co2-combination-sensor,"Contact Type Zone Water Detection Sensor"
din-rail-mount-24v-power-supply-accessory,accessory-wire;24vdc-power-supply-accessory-for-4-20ma-sensors;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup,"Din Rail Mount 24V Power Supply"
ethernet-to-wifi-adapter-accessory,sensaphone-sentinel-monitoring-system;sensaphone-stratus-ems-monitoring-system;sensaphone-ims-4000e-enterprise-monitoring-host;sensaphone-web600-monitoring-system;sensaphone-wsg30-monitoring-system,"Ethernet-to-WiFi Adapter Accessory"
ims-solution-air-flow-sensor,sensaphone-ims-4000e-enterprise-monitoring-host;ims-4000-dual-relay-output-module;ims-4000-node-w-dry-contact-inputs;ims-cat5-patch-cable;ims-solution-indoor-temperature-sensors;ims-solution-room-humidity-sensor;ims-solution-zone-water-detection-sensor;ims-solution-external-power-failure-sensor;ims-solution-dry-contact-interface;ims-solution-magnetic-reed-door-and-window-switch,"IMS Solution Air Flow Sensor"
ims-solution-dry-contact-interface,sensaphone-ims-4000e-enterprise-monitoring-host;ims-4000-dual-relay-output-module;ims-4000-node-w-dry-contact-inputs;ims-solution-zone-water-detection-sensor;ims-solution-external-power-failure-sensor;ims-solution-magnetic-reed-door-and-window-switch;ims-solution-infrared-motion-detection-sensor;ims-solution-smoke-detection-sensor,"IMS Solution Dry Contact Interface"
ims-solution-external-power-failure-sensor,sensaphone-ims-4000e-enterprise-monitoring-host;4-20ma-type-split-core-current-sensor;ims-4000-dual-relay-output-module;ims-4000-node-w-dry-contact-inputs;ims-solution-room-humidity-sensor;ims-solution-zone-water-detection-sensor;ims-solution-dry-contact-interface;ims-solution-4-20ma-interface,"IMS Solution External Power Failure Sensor"
ims-solution-indoor-temperature-sensors,sensaphone-ims-4000e-enterprise-monitoring-host;ims-solution-mini-temperature-sensor;ims-solution-ultra-low-temperature-sensor;ims-solution-temperature-sensor-w-external-probe,"IMS Solution Indoor Temperature Sensors"
ims-solution-infrared-motion-detection-sensor,sensaphone-ims-4000e-enterprise-monitoring-host;ims-solution-indoor-temperature-sensors;ims-solution-room-humidity-sensor;ims-solution-dry-contact-interface;ims-solution-4-20ma-interface;ims-solution-smoke-detection-sensor;ims-solution-air-flow-sensor,"IMS Solution Infrared Motion Detection Sensor"
ims-solution-magnetic-reed-door-and-window-switch,sensaphone-ims-4000e-enterprise-monitoring-host;ims-solution-indoor-temperature-sensors;ims-solution-mini-temperature-sensor;ims-solution-ultra-low-temperature-sensor;ims-solution-room-humidity-sensor;ims-solution-zone-water-detection-sensor;ims-solution-dry-contact-interface;ims-solution-4-20ma-interface;ims-solution-infrared-motion-detection-sensor;ims-solution-smoke-detection-sensor,"IMS Solution Magnetic Reed Door and Window Switch"
ims-solution-room-humidity-sensor,sensaphone-ims-4000e-enterprise-monitoring-host;ims-solution-indoor-temperature-sensors;ims-solution-mini-temperature-sensor;ims-solution-ultra-low-temperature-sensor;ims-solution-temperature-sensor-w-external-probe;ims-solution-zone-water-detection-sensor,"IMS Solution Room Humidity Sensor"
ims-solution-smoke-detection-sensor,sensaphone-ims-4000e-enterprise-monitoring-host;ims-4000-dual-relay-output-module;ims-4000-node-w-dry-contact-inputs;ims-cat5-patch-cable;ims-solution-indoor-temperature-sensors;ims-solution-room-humidity-sensor;ims-solution-zone-water-detection-sensor;ims-solution-dry-contact-interface;ims-solution-magnetic-reed-door-and-window-switch;ims-solution-infrared-motion-detection-sensor,"IMS Solution Smoke Detection Sensor"
ims-solution-temperature-sensor-w-external-probe,sensaphone-ims-4000e-enterprise-monitoring-host;ims-solution-indoor-temperature-sensors;ims-solution-mini-temperature-sensor;ims-solution-ultra-low-temperature-sensor,"IMS Solution Temperature Sensor w/ External Probe"
ims-solution-ultra-low-temperature-sensor,sensaphone-ims-4000e-enterprise-monitoring-host;ims-solution-indoor-temperature-sensors;ims-solution-mini-temperature-sensor;ims-solution-temperature-sensor-w-external-probe,"IMS Solution Ultra Low Temperature Sensor"
ims-solution-zone-water-detection-sensor,sensaphone-ims-4000e-enterprise-monitoring-host;ims-solution-room-humidity-sensor;ims-solution-magnetic-reed-door-and-window-switch;ims-solution-infrared-motion-detection-sensor;ims-solution-smoke-detection-sensor,"IMS Solution Zone Water Detection Sensor"
ims-4000-node-w-dry-contact-inputs,sensaphone-ims-4000e-enterprise-monitoring-host;ims-4000-dual-relay-output-module;ims-solution-external-power-failure-sensor;ims-solution-dry-contact-interface;ims-solution-4-20ma-interface,"IMS-4000 Node w/ Dry Contact Inputs"
j-type-thermocouple-4-20ma-converter,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display;28k-type-temperature-sensor-in-glycol-vial;28k-type-ultra-low-temperature-sensor-in-glycol-bottle;rtd-probe-with-4-20ma-transmitter,"J Type Thermocouple / 4-20mA Converter"
modbus-type-temperature-and-humidity-combination-sensor,accessory-wire;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory;temperature-humidity-and-co2-combination-sensor;rtd-probe-with-4-20ma-transmitter,"Modbus Type Temperature and Humidity Combination Sensor"
rtd-probe-with-4-20ma-transmitter,accessory-wire;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glycol-bottle,"RTD Probe with 4-20mA Transmitter"
sensaphone-1400-and-1800-monitoring-systems,sensaphone-sentinel-monitoring-system;sensaphone-sentinel-monitoring-system-with-cellular-modem;sensaphone-400-and-800-monitoring-systems,"Sensaphone 1400 & 1800 Monitoring Systems"
sensaphone-400-and-800-monitoring-systems,sensaphone-sentinel-monitoring-system;sensaphone-sentinel-monitoring-system-with-cellular-modem;28k-type-room-temperature-sensor;28k-type-weatherproof-temperature-sensor;sensaphone-1400-and-1800-monitoring-systems;accessory-wire;contact-type-temp-alert-temperature-switch;contact-type-powerout-alert-power-failure-switch,"Sensaphone 400 & 800 Monitoring Systems"
sensaphone-ims-4000e-enterprise-monitoring-host,sensaphone-sentinel-monitoring-system;sensaphone-sentinel-monitoring-system-with-cellular-modem;sensaphone-sentinel-pro-monitoring-system;sensaphone-sentinel-pro-monitoring-system-with-cellular-modem;sensaphone-stratus-ems-monitoring-system,"Sensaphone IMS-4000E Enterprise Monitoring Host"
sensaphone-sentinel-monitoring-system,sensaphone-sentinel-monitoring-system-with-cellular-modem;sensaphone-sentinel-pro-monitoring-system;ethernet-to-wifi-adapter-accessory;sensaphone-sentinel-pro-monitoring-system-with-cellular-modem;sensaphone-stratus-ems-monitoring-system;sensaphone-400-and-800-monitoring-systems,"Sensaphone Sentinel Monitoring System"
sensaphone-sentinel-monitoring-system-with-cellular-modem,sensaphone-sentinel-monitoring-system;sensaphone-sentinel-pro-monitoring-system;sensaphone-sentinel-pro-monitoring-system-with-cellular-modem;sensaphone-stratus-ems-monitoring-system,"Sensaphone Sentinel Monitoring System with Cellular Modem"
sensaphone-sentinel-pro-monitoring-system,sensaphone-sentinel-monitoring-system;sensaphone-sentinel-monitoring-system-with-cellular-modem;sensaphone-sentinel-pro-monitoring-system-with-cellular-modem;sensaphone-stratus-ems-monitoring-system,"Sensaphone Sentinel Pro Monitoring System"
sensaphone-sentinel-pro-monitoring-system-with-cellular-modem,sensaphone-sentinel-monitoring-system;sensaphone-sentinel-monitoring-system-with-cellular-modem;sensaphone-sentinel-pro-monitoring-system;sensaphone-stratus-ems-monitoring-system,"Sensaphone Sentinel Pro Monitoring System with Cellular Modem"
sensaphone-sentry-monitoring-system-1,sensaphone-sentinel-monitoring-system;sensaphone-sentinel-monitoring-system-with-cellular-modem;sensaphone-sentinel-pro-monitoring-system;sensaphone-sentinel-pro-monitoring-system-with-cellular-modem;sensaphone-stratus-ems-monitoring-system,"Sensaphone Sentry Monitoring System"
sensaphone-stratus-ems-monitoring-system,sensaphone-sentinel-monitoring-system;sensaphone-sentinel-monitoring-system-with-cellular-modem;sensaphone-sentinel-pro-monitoring-system;sensaphone-sentinel-pro-monitoring-system-with-cellular-modem;sensaphone-web600-monitoring-system;sensaphone-wsg30-monitoring-system,"Sensaphone Stratus EMS Monitoring System"
sensaphone-web600-battery-backup,sensaphone-sentinel-monitoring-system;sensaphone-sentinel-pro-monitoring-system;ethernet-to-wifi-adapter-accessory;sensaphone-web600-monitoring-system;accessory-wire,"Sensaphone WEB600 Battery Backup"
sensaphone-web600-monitoring-system,sensaphone-sentinel-monitoring-system;sensaphone-sentinel-monitoring-system-with-cellular-modem;sensaphone-sentinel-pro-monitoring-system;sensaphone-sentinel-pro-monitoring-system-with-cellular-modem;sensaphone-stratus-ems-monitoring-system;sensaphone-wsg30-monitoring-system;sensaphone-web600-battery-backup,"Sensaphone WEB600 Monitoring System"
sensaphone-wsg30-monitoring-system,sensaphone-sentinel-monitoring-system;sensaphone-sentinel-monitoring-system-with-cellular-modem;sensaphone-sentinel-pro-monitoring-system;sensaphone-sentinel-pro-monitoring-system-with-cellular-modem;sensaphone-stratus-ems-monitoring-system;sensaphone-ims-4000e-enterprise-monitoring-host,"Sensaphone WSG30 Monitoring System"
sensaphone-wsg30-wireless-temperature-display,sensaphone-wsg30-monitoring-system;wsg-wireless-temperature-sensor-w-external-probe;wsg-wireless-temperature-sensor-in-buffered-bottle;wsg-wireless-temperature-sensor-with-rtd-probe;wsg-wireless-humidity-sensor;wsg-wireless-dry-contact-interface;wsg-wireless-power-failure-sensor;wsg-wireless-4-20ma-interface;wsg-wireless-water-detection-sensors,"Sensaphone WSG30 Wireless Temperature Display"
surge-suppressor-for-power-and-phone,ethernet-to-wifi-adapter-accessory;accessory-wire;24vdc-power-supply-accessory-for-4-20ma-sensors;contact-type-powerout-alert-power-failure-switch;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory,"Surge Suppressor for Power & Phone"
temperature-humidity-and-co2-combination-sensor,accessory-wire;4-20ma-type-carbon-monoxide-sensor;4-20ma-type-carbon-dioxide-co2-sensor;4-20ma-type-duct-mount-air-flow-transmitter;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory,"Temperature, Humidity and CO2 Combination Sensor"
vfc-refrigerator-temperature-sensor-with-display,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display;28k-type-temperature-sensor-in-glycol-vial;28k-type-ultra-low-temperature-sensor-in-glycol-bottle,"VFC Refrigerator Temperature Sensor with Display"
water-rope-extension-for-zone-water-detectors,contact-type-spot-water-detection-sensor;contact-type-zone-water-detection-sensor;wsg-wireless-water-detection-sensors,"Water Rope Extension for Zone Water Detectors"
wsg-wireless-4-20ma-interface,sensaphone-wsg30-monitoring-system;wsg-wireless-room-temperature-sensor;wsg-wireless-temperature-sensor-w-external-probe;wsg-wireless-temperature-sensor-with-rtd-probe;wsg-wireless-dry-contact-interface;wsg-wireless-power-failure-sensor;wsg-wireless-water-detection-sensors,"WSG Wireless 4-20mA Interface"
wsg-wireless-dry-contact-interface,contact-type-magnetic-reed-door-and-window-switch;contact-type-infrared-motion-detection-sensor;contact-type-smoke-detector-sensor;wsg-wireless-room-temperature-sensor;wsg-wireless-temperature-sensor-w-external-probe;wsg-wireless-temperature-sensor-in-buffered-bottle;wsg-wireless-temperature-sensor-with-rtd-probe;wsg-wireless-4-20ma-interface;wsg-wireless-water-detection-sensors,"WSG Wireless Dry Contact Interface"
wsg-wireless-humidity-sensor,wsg-wireless-room-temperature-sensor;wsg-wireless-temperature-sensor-w-external-probe;wsg-wireless-temperature-sensor-in-buffered-bottle;wsg-wireless-temperature-sensor-with-rtd-probe;wsg-wireless-dry-contact-interface;wsg-wireless-power-failure-sensor;wsg-wireless-4-20ma-interface;wsg-wireless-water-detection-sensors,"WSG Wireless Humidity Sensor"
wsg-wireless-power-failure-sensor,sensaphone-wsg30-monitoring-system;wsg-wireless-room-temperature-sensor;wsg-wireless-temperature-sensor-in-buffered-bottle;wsg-wireless-temperature-sensor-with-rtd-probe;wsg-wireless-water-detection-sensors,"WSG Wireless Power Failure Sensor"
wsg-wireless-room-temperature-sensor,wsg-wireless-temperature-sensor-w-external-probe;wsg-wireless-temperature-sensor-in-buffered-bottle;wsg-wireless-temperature-sensor-with-rtd-probe,"WSG Wireless Room Temperature Sensor"
wsg-wireless-temperature-sensor-in-buffered-bottle,wsg-wireless-room-temperature-sensor;wsg-wireless-temperature-sensor-w-external-probe;wsg-wireless-temperature-sensor-with-rtd-probe;wsg-wireless-humidity-sensor;wsg-wireless-dry-contact-interface;wsg-wireless-power-failure-sensor;wsg-wireless-4-20ma-interface;wsg-wireless-water-detection-sensors,"WSG Wireless Temperature Sensor in Buffered Bottle"
wsg-wireless-temperature-sensor-w-external-probe,wsg-wireless-room-temperature-sensor;wsg-wireless-temperature-sensor-in-buffered-bottle;wsg-wireless-temperature-sensor-with-rtd-probe;wsg-wireless-humidity-sensor;wsg-wireless-dry-contact-interface;wsg-wireless-power-failure-sensor;wsg-wireless-water-detection-sensors,"WSG Wireless Temperature Sensor w/ External Probe"
wsg-wireless-temperature-sensor-with-rtd-probe,wsg-wireless-room-temperature-sensor;wsg-wireless-temperature-sensor-w-external-probe;wsg-wireless-temperature-sensor-in-buffered-bottle;wsg-wireless-humidity-sensor;wsg-wireless-dry-contact-interface;wsg-wireless-power-failure-sensor;wsg-wireless-4-20ma-interface,"WSG Wireless Temperature Sensor with RTD Probe"
wsg-wireless-water-detection-sensors,sensaphone-wsg30-monitoring-system;wsg-wireless-room-temperature-sensor;wsg-wireless-temperature-sensor-w-external-probe;wsg-wireless-temperature-sensor-with-rtd-probe;wsg-wireless-4-20ma-interface,"WSG Wireless Water Detection Sensors"
